"",Ethnicity,Gender,HasTie
1,1,1,1
2,1,1,1
3,1,1,1
4,1,2,1
5,3,1,1
6,3,1,1
7,1,1,1
8,3,1,1
9,1,1,1
10,3,1,1
11,3,1,1
12,2,1,1
13,2,1,1
14,2,1,1
15,2,1,1
16,3,1,1
17,3,1,1
18,3,2,1
19,3,2,1
20,3,1,1
21,3,1,1
22,3,1,1
23,3,1,1
24,2,1,1
25,2,1,0
26,2,2,0
27,3,1,1
28,3,2,1
29,3,1,1
30,3,1,1
31,2,1,1
32,2,1,1
33,2,1,0
34,2,1,1
35,2,1,1
36,3,1,1
37,5,2,1
38,2,1,1
39,3,1,1
40,3,1,1
41,2,1,0
42,2,1,1
43,2,1,1
44,2,1,0
45,3,1,1
46,2,2,1
47,3,2,1
48,3,1,1
49,3,1,1
50,3,1,1
51,3,1,0
52,3,2,1
53,3,1,0
54,2,2,1
55,3,1,1
56,3,1,1
57,1,1,1
58,3,1,1
59,2,1,1
60,1,2,0
61,2,1,1
62,3,2,0
63,2,1,1
64,3,1,1
65,3,1,1
66,3,1,1
67,3,1,1
68,3,1,1
69,1,1,0
70,3,1,1
71,2,2,1
72,2,2,1
73,2,1,0
74,3,1,1
75,3,2,1
77,3,1,1
78,3,1,1
79,3,1,1
80,3,1,0
81,2,1,1
82,1,2,0
83,3,1,1
84,3,1,1
85,3,1,1
86,2,1,0
87,2,1,1
88,2,2,1
89,2,2,1
90,2,2,1
91,2,1,1
92,2,2,1
93,3,2,1
94,1,1,0
95,2,1,1
96,3,1,1
97,3,2,1
98,2,1,1
99,2,1,1
100,2,2,1
101,2,1,1
102,2,2,1
103,7,1,0
104,3,1,1
105,3,1,1
106,3,1,1
107,3,1,1
108,2,1,1
109,3,1,1
110,3,1,0
112,3,1,0
113,1,2,1
114,3,2,0
115,3,1,1
116,2,1,1
117,3,1,1
118,3,1,1
119,3,1,0
120,2,1,1
121,1,1,0
122,2,2,1
123,2,1,1
124,2,1,1
125,2,1,1
126,2,1,1
127,3,1,1
128,3,1,1
129,3,1,1
130,2,1,1
131,2,1,1
132,3,2,0
133,3,1,0
134,3,1,1
135,3,1,1
136,2,1,1
137,2,1,1
138,3,1,0
139,2,1,1
140,2,1,1
141,3,1,1
142,3,1,1
143,3,1,1
144,3,1,1
145,3,1,1
146,2,1,1
147,2,2,1
148,2,1,1
149,2,1,1
150,2,2,1
151,2,1,1
152,7,2,1
153,2,2,1
154,1,1,1
155,3,1,1
156,3,1,1
157,3,1,1
158,3,2,1
159,3,1,1
160,2,1,0
161,3,2,0
162,5,1,0
163,3,1,1
164,1,1,0
165,3,1,1
166,2,1,1
167,1,2,1
168,3,1,0
169,2,1,1
170,3,1,0
171,2,1,1
172,3,1,1
173,2,1,1
174,2,1,1
175,3,1,1
176,3,1,0
177,2,1,1
178,3,1,1
179,2,1,0
180,3,2,1
181,6,1,0
182,3,1,1
183,3,1,1
184,2,1,1
185,3,1,1
186,3,2,0
187,3,1,1
188,3,1,1
189,3,1,1
190,3,1,1
191,2,0,1
192,2,1,1
193,2,1,1
194,2,1,1
195,3,1,0
196,2,1,1
197,3,2,1
198,2,1,0
199,3,1,1
200,3,1,1
201,3,0,0
202,2,1,1
203,3,2,1
204,3,0,1
205,3,2,1
206,2,1,1
207,2,2,0
208,3,2,1
209,2,1,1
210,3,1,1
211,1,2,1
212,2,1,1
213,2,1,1
214,7,2,0
215,2,1,1
216,2,1,1
217,3,1,1
218,3,2,0
219,3,1,1
220,3,2,1
221,6,1,0
222,2,1,1
223,3,1,1
224,3,1,1
225,3,1,1
226,3,2,1
227,3,1,1
228,1,1,1
229,3,1,0
230,3,2,0
231,3,1,1
232,3,1,1
233,2,1,1
234,3,1,1
235,2,2,1
236,3,1,1
237,1,1,0
238,3,1,0
239,2,1,1
240,2,2,1
241,2,1,0
242,2,1,0
243,2,1,0
244,3,1,1
245,3,1,1
246,2,1,1
247,1,2,0
248,2,1,0
249,2,2,0
250,2,2,0
251,3,2,1
252,1,2,1
253,3,1,0
254,3,1,1
255,3,1,1
256,3,1,1
257,3,1,0
258,3,2,1
259,3,2,0
260,3,2,1
262,7,1,0
265,2,0,0
266,7,0,0
267,7,2,0
268,3,2,0
269,3,2,0
270,1,2,0
271,7,2,0
272,7,2,0
273,3,0,1
274,3,2,0
275,3,2,1
276,6,2,0
277,3,2,1
278,3,2,0
279,7,2,0
280,3,2,1
281,3,2,0
282,3,2,0
283,2,1,0
284,3,2,0
285,3,2,1
286,3,2,0
287,2,1,1
288,3,0,0
289,1,2,0
290,3,2,1
291,2,2,0
292,1,2,0
293,3,2,0
294,3,2,0
295,3,2,1
296,3,2,0
297,1,2,0
298,3,2,1
